,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_decay,params_dropout,params_lr,params_transform,state
34,34,50.44,2025-10-24 01:23:37.620434,2025-10-24 01:24:32.287151,0 days 00:00:54.666717,32,1e-06,0.06733457379391233,0.0005461099309562524,easy_transform,COMPLETE
35,35,22.1,2025-10-24 01:24:32.288150,2025-10-24 01:25:27.133852,0 days 00:00:54.845702,32,1e-06,0.2747170744443859,0.0002250678904697856,easy_transform,COMPLETE
36,36,7.06,2025-10-24 01:25:27.134851,2025-10-24 01:26:40.500030,0 days 00:01:13.365179,32,1e-06,0.04337070571205617,1.0780151642347942e-05,crop_transform,COMPLETE
37,37,36.56,2025-10-24 01:26:40.500030,2025-10-24 01:27:35.853286,0 days 00:00:55.353256,32,1e-06,0.163556158559908,0.00048590494879882055,easy_transform,COMPLETE
38,38,2.96,2025-10-24 01:27:35.854337,2025-10-24 01:28:38.666439,0 days 00:01:02.812102,128,1e-06,0.7565069408910532,0.00013340678282681835,crop_transform,COMPLETE
39,39,16.62,2025-10-24 01:28:38.667438,2025-10-24 01:29:20.365259,0 days 00:00:41.697821,256,1e-05,0.3932896700579645,0.0005265274343043704,easy_transform,COMPLETE
40,40,15.32,2025-10-24 01:29:20.365259,2025-10-24 01:30:15.531267,0 days 00:00:55.166008,32,0.0,0.25764375184376787,7.50584857766749e-05,easy_transform,COMPLETE
41,41,40.94,2025-10-24 01:30:15.532313,2025-10-24 01:30:58.858026,0 days 00:00:43.325713,128,1e-06,0.08580076800047243,0.0007903340529999072,easy_transform,COMPLETE
42,42,11.98,2025-10-24 01:30:58.859026,2025-10-24 01:31:45.604007,0 days 00:00:46.744981,64,0.0001,0.12728599016156233,4.302226213997535e-05,easy_transform,COMPLETE
43,43,13.42,2025-10-24 01:31:45.605010,2025-10-24 01:32:32.259970,0 days 00:00:46.654960,64,1e-06,0.5473376287645659,0.0004205560642830718,easy_transform,COMPLETE
44,44,58.18,2025-10-24 01:32:32.261091,2025-10-24 01:33:26.890129,0 days 00:00:54.629038,32,1e-07,0.041740161737281234,0.0005719578056151807,easy_transform,COMPLETE
45,45,49.9,2025-10-24 01:33:26.891130,2025-10-24 01:34:21.308687,0 days 00:00:54.417557,32,1e-07,0.03974390663461259,0.00029725548625930513,easy_transform,COMPLETE
46,46,51.94,2025-10-24 01:34:21.308687,2025-10-24 01:35:16.150639,0 days 00:00:54.841952,32,1e-07,0.02540217008507438,0.0002651006789675815,easy_transform,COMPLETE
47,47,21.98,2025-10-24 01:35:16.151735,2025-10-24 01:36:29.235772,0 days 00:01:13.084037,32,1e-07,0.021700151457271426,0.00029469367524275804,crop_transform,COMPLETE
48,48,1.38,2025-10-24 01:36:29.236772,2025-10-24 01:37:23.662175,0 days 00:00:54.425403,32,1e-07,0.9378883795628927,0.00021191868133168846,easy_transform,COMPLETE
49,49,69.04,2025-10-24 01:37:23.663178,2025-10-24 01:38:18.698543,0 days 00:00:55.035365,32,1e-07,0.0007529936160305117,0.00038247921158946857,easy_transform,COMPLETE
50,50,36.52,2025-10-24 01:38:18.699541,2025-10-24 01:39:13.948387,0 days 00:00:55.248846,32,1e-07,0.1527550681746046,0.00042233595223569364,easy_transform,COMPLETE
51,51,65.2,2025-10-24 01:39:13.949386,2025-10-24 01:40:11.592658,0 days 00:00:57.643272,32,1e-07,0.00323715316068723,0.000328181304557305,easy_transform,COMPLETE
